timestamp,Basilea Temperature [2 m elevation corrected],Basilea Growing Degree Days [2 m elevation corrected],Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Sunshine Duration,Basilea Shortwave Radiation,Basilea Direct Shortwave Radiation,Basilea Diffuse Shortwave Radiation,Basilea Precipitation Total,Basilea Snowfall Amount,Basilea Relative Humidity [2 m],Basilea Cloud Cover Total,Basilea Cloud Cover High [high cld lay],Basilea Cloud Cover Medium [mid cld lay],Basilea Cloud Cover Low [low cld lay],Basilea CAPE [180-0 mb above gnd],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [1000 mb],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m],Basilea Wind Speed [80 m],Basilea Wind Direction [80 m],Basilea Wind Gust,Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb]
20220922T0000,8.120529,0,8.66,5.33,-0.04,0,0,0,0,0,0,67,0,0,0,0,0,1023.8,194,1535,3102,5721,8.14,10.589996,3.557394,3.8939953,146.30994,2.6208394,164.0546,14.4,29.899511,92.07003,11.4862,57.80426,11.304229,37.234833,52.66592,15.461212
20220922T0100,7.3705287,0,8.03,5.01,-0.01,0,0,0,0,0,0,68,0,0,0,0,0,1024.2,197,1536,3104,5723,7.46,9.910004,3.2778673,4.198285,149.03624,3.8268526,138.81407,20.16,24.119999,89.99999,12.413477,60.46122,10.787993,25.709946,50.215805,12.840668
20220922T0200,6.7005286,0,7.43,5.09,-0.02,0,0,0,0,0,0,70,0,0,0,0,0,1023.9,194,1532,3100,5718,6.85,9.290009,2.9352074,4.198285,149.03624,3.319036,130.60129,13.32,25.56,89.99999,12.72283,64.88516,12.864649,17.927917,47.198456,7.450226
20220922T0300,6.2705283,0,6.82,5.18,-0.03,0,0,0,0,0,0,72,0,0,0,0,0,1023.9,193,1530,3098,5716,6.36,8.740021,2.6596975,4.2136917,160.01689,2.3051248,128.6598,18.72,23.110207,85.53283,11.592895,64.23067,16.78156,22.714401,47.656166,4.332321
20220922T0400,6.1705284,0,6.6,5.12,-0.06,0,0,0,0,0,0,72,0,0,0,0,0,1024,194,1529,3097,5716,6.04,8.279999,2.64143,4.2136917,160.01689,2.8116899,129.80557,18,22.7057,87.27369,11.631956,68.19859,18.03237,26.053482,48.015144,4.2998505
20220922T0500,6.0505285,0,6.69,5.17,0,0,0,0,0,0,0,71,0,0,0,0,0,1024.2,196,1530,3098,5716,5.72,7.9100037,2.713214,4.0249224,153.43495,3.7064266,119.054596,16.56,22.682856,89.090614,11.792404,77.66091,18.709612,30.018356,46.445576,0.8882141
20220922T0600,6.1905284,0,6.65,5.3,0.31,45.266666,28.48,8.013254,20.466745,0,0,71,0,0,0,0,0,1024.5,199,1532,3100,5718,6.98,7.8099976,2.7395415,4.39436,145.00798,5.8603754,132.51044,17.28,23.411074,91.76238,11.901798,86.53177,18.892282,30.963745,45.3957,357.72754
20220922T0700,7.5305285,0,7.06,5.43,0.7,60,181.56,60.95826,120.60174,0,0,66,0,0,0,0,0,1024,195,1530,3099,5717,10.08,8.809998,3.5209708,4.3498964,114.44395,4.2136917,109.9831,19.08,24.546085,94.20535,12.605142,91.63657,19.469976,33.690063,45.36,360
20220922T0800,9.720529,0,9.01,5.65,0.9,60,345.32,163.8067,181.5133,0,0,61,0,0,0,0,0,1023.4,192,1529,3099,5717,13.67,10.660004,4.683313,5.8603754,100.61965,5.937272,104.03624,14.759999,25.325686,95.71059,13.084402,97.90716,19.08,31.890793,47.715958,5.194412
20220922T0900,12.240529,0.09335538,11.32,5.98,1.02,60,485.94,261.662,224.27803,0,0,56,0,0,0,0,0,1022.9,189,1531,3102,5721,17.31,13.059998,6.2455564,6.87779,83.99099,5.7599998,89.99999,13.32,25.006397,96.61345,13.708391,103.6713,18.892282,30.963745,48.015144,4.2998505
