timestamp,Basilea Temperature [2 m elevation corrected],Basilea Growing Degree Days [2 m elevation corrected],Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Sunshine Duration,Basilea Shortwave Radiation,Basilea Direct Shortwave Radiation,Basilea Diffuse Shortwave Radiation,Basilea Precipitation Total,Basilea Snowfall Amount,Basilea Relative Humidity [2 m],Basilea Cloud Cover Total,Basilea Cloud Cover High [high cld lay],Basilea Cloud Cover Medium [mid cld lay],Basilea Cloud Cover Low [low cld lay],Basilea CAPE [180-0 mb above gnd],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [1000 mb],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Evapotranspiration,Basilea FAO Reference Evapotranspiration [2 m],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Soil Moisture [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m],Basilea Wind Speed [80 m],Basilea Wind Direction [80 m],Basilea Wind Gust,Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb]
2023-09-22T00:00:00,15.360529,0.22335537,16.33,9,0.88,0,0,0,0,0,0,72,100,0,100,100,0,1004.3,38,1399,2985,5611,0.04608,0.03887395,15.94,18.01,0.23,4.866726,14.417988,272.8624,20.907913,272.96094,25.919998,47.607193,273.46823,53.76067,273.8396,92.40296,215.48578,87.857704,220.34665
2023-09-22T01:00:00,14.870529,0.20293872,15.9,8.31,0.44,0,0,0,0,0,0,72,100,0,100,100,0,1004.2,38,1397,2979,5602,0.04464,0.01488112,15.47,17.27,0.23,4.715887,6.989936,235.49149,10.495713,239.03624,16.919998,31.75355,266.0995,37.290855,263.90414,62.238365,231.3402,80.862274,217.58415
2023-09-22T02:00:00,14.670529,0.1946054,15.79,7.89,-0.97,0,0,0,0,0,0,71,100,0,100,100,22,1005.7,50,1410,2982,5598,0.04176,0.025133507,15.04,16.72,0.23,4.82178,9.673221,225,15.072783,229.84401,24.84,41.556225,265.03027,41.266743,263.991,69.676506,246.87915,84.052864,207.55281
2023-09-22T03:00:00,14.310529,0.17960536,15.51,6.67,-0.09,0,0,0,0,0,0,75,100,0,100,100,5,1004.8,42,1401,2974,5586,0.036,0.014948349,14.76,16.27,0.23,4.061205,7.9932976,187.76517,11.440979,204.14554,16.919998,37.861664,266.7295,30.960001,270,82.92902,244.54736,89.53512,207.80147
2023-09-22T04:00:00,14.440529,0.18502204,15.84,7.28,-1.7,0,0,0,0,0,0,76,100,0,100,100,0,1004.7,42,1400,2973,5582,0.03024,0.001045838,14.74,16.01,0.23,3.9316473,4.0249224,206.56505,5.634891,243.43495,15.4800005,44.34434,262.06726,34.04808,250.22392,57.353096,245.52628,112.6196,210.33554
2023-09-22T05:00:00,14.490529,0.18710537,15.87,7.22,-2.69,0,0,0,0,0,0,77,100,0,100,100,3,1005.5,49,1405,2974,5581,0.02016,0,14.63,15.79,0.23,3.780015,2.6208394,254.0546,5.7599998,270,16.199999,42.219883,258.69006,41.104683,252.6759,59.163895,248.58704,84.23154,205.0317
2023-09-22T06:00:00,14.480529,0.1866887,15.87,6.73,-3.25,0,0,0,0,0,0,76,100,0,100,100,12,1005.1,45,1401,2968,5572,0.02016,0.000823577,14.5,15.63,0.23,3.9418173,3.96,270,9,270,15.84,41.348316,262.99872,39.067875,253.4019,54.221542,247.35088,92.94974,200.4002
2023-09-22T07:00:00,14.280529,0.17835538,15.59,5.79,-3.05,0,0,0,0,0,0,76,100,0,7,100,22,1005.5,49,1402,2966,5571,0.01872,0,14.15,15.46,0.229,3.8912,3.563818,225,8.654986,253.07248,14.4,37.827415,261.7928,36.317204,252.10388,50.816135,247.0679,113.83858,205.67368
2023-09-22T08:00:00,14.380529,0.18252206,15.31,5.6,-3.6,0,8.9,3.7314987,5.168501,0,0,76,100,0,31,100,42,1006.1,54,1406,2968,5571,0.0216,0.024861557,14.84,15.48,0.229,3.9164362,3.96,270,9,270,15.84,37.77256,259.01135,42.9367,249.89377,52.807228,243.26027,111.74738,203.34401
2023-09-22T09:00:00,14.620529,0.19252205,15.27,5.44,-3.16,0,108.58,67.368,41.212,0,0,76,100,0,93,100,59,1005.9,52,1404,2966,5562,0.036,0.06248191,16,16.01,0.229,3.9775925,6.4799995,270,9.36,270,16.56,32.68871,258.5663,37.16902,248.4047,55.380356,239.10011,87.97563,208.87242
2023-09-22T10:00:00,15.250529,0.21877205,15.49,5.23,-3.17,0,153.08,72.814095,80.26591,0,0,73,100,0,64,100,65,1006.5,57,1409,2971,5560,0.04752,0.09736576,18.93,16.73,0.229,4.65991,5.7599998,270,6.4799995,270,15.84,21.758419,253.66397,33.56312,247.28558,55.081177,233.50458,86.92416,218.10391
2023-09-22T11:00:00,15.250529,0.21877205,15.64,5.53,-3.23,0,195.8,60.69539,135.10461,0,0,72,100,0,0,100,63,1006.8,59,1412,2974,5560,0.0576,0.12262816,17.97,17.45,0.229,4.8324995,4.6938252,274.3987,5.4119864,273.8141,18,11.966954,254.29138,31.056128,235.38885,55.370995,233.72614,87.900475,220.01588
2023-09-22T12:00:00,15.750529,0.23960538,16.07,5.59,-3.14,0,327.52,181.06665,146.45334,0,0,70,100,0,10,100,77,1006.4,55,1409,2972,5556,0.08064,0.190265,18.99,18.72,0.228,5.3462105,2.6208394,254.0546,3.2599385,263.65982,14.4,6.151683,249.44395,31.404713,241.96616,54.654827,232.22432,88.32628,218.87863
2023-09-22T13:00:00,15.900529,0.24585538,16.16,5.7,-2.96,0,183.34,1.7183075,181.62169,0,0,70,100,0,10,100,89,1006.5,56,1411,2974,5556,0.06336,0.12640801,19.21,18.85,0.228,5.3977013,4.198285,210.96376,4.1046314,217.87498,8.28,6.1094027,225,28.496904,243.75865,54.26933,227.41951,88.779976,219.24037
2023-09-22T14:00:00,16.82053,0.28418875,16.43,6.09,-3.12,53.939396,344.43,151.11533,193.31467,0,0,66,10,0,0,10,95,1006.6,57,1413,2978,5560,0.08496,0.21269225,23.81,19.74,0.227,6.486245,6.4799995,180,6.162207,186.70984,10.440001,7.9932976,187.76517,33.651817,242.61258,54.436237,230.09741,81.22369,223.74294
2023-09-22T15:00:00,17.530529,0.31377205,17.14,6.39,-3.11,53.939396,587.39996,375.46957,211.93039,0,0,63,10,0,0,10,140,1006.6,56,1416,2981,5560,0.1224,0.3286983,24.3,21.37,0.227,7.382719,8.64,180,7.92,180,18,10.308831,192.09476,28.337282,242.78389,56.423607,229.39871,78.159805,224.06693
2023-09-22T16:00:00,17.89053,0.32877207,18.09,7.23,-3.17,27.272726,423.63998,298.91824,124.72173,0,0,59,54,0,0,54,198,1006.3,54,1418,2983,5559,0.10944,0.25562564,21.45,21.84,0.226,8.368457,7.928178,177.39743,7.5685663,177.27368,22.319998,12.55879,207.29958,28.36471,246.0375,59.342148,234.38152,71.3654,227.86241
2023-09-22T17:00:00,19.330528,0.388772,19.47,7.95,-3.59,0,320.4,220.91183,99.48816,0,0,53,100,0,0,100,386,1005.7,49,1418,2982,5557,0.1008,0.20183706,23.69,22.05,0.225,10.497279,4.510787,208.61046,4.072935,225,19.8,10.464797,243.43495,27.811018,248.7495,57.320316,237.30801,60.636227,238.1028
2023-09-22T18:00:00,19.580528,0.39918867,20.46,8.21,-4.06,15.151516,97.9,23.970139,73.92986,0.3,0,44,74,0,74,74,138,1006.3,55,1426,2990,5563,0.06912,0.12774608,20.22,21.17,0.228,12.703237,8.28,270,11.542478,273.57632,22.68,25.516865,253.61046,28.348713,252.25534,53.135075,242.5669,56.91303,236.6115
2023-09-22T19:00:00,18.62053,0.3591887,19.63,7.62,-4.13,26.666664,47.17,24.326326,22.843672,0.3,0,48,55,0,49,55,164,1007,60,1428,2991,5561,0.0792,0.13706243,18.65,20.19,0.23,11.110894,16.919998,270,23.039999,270,22.319998,33.04361,262.48785,32.83705,254.74487,48.8341,246.08041,57.57412,230.83664
