Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Relative Humidity [2 m],Basilea CAPE [180-0 mb above gnd],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [1000 mb],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Evapotranspiration,Basilea FAO Reference Evapotranspiration [2 m],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Soil Moisture [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m],Basilea Wind Speed [80 m],Basilea Wind Direction [80 m],Basilea Wind Gust,Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb],ID,month,Basilea Next Day Soil Moisture [0-10 cm down]
23.34,10.73,-2.05,33,114,1017.3,146,1531,3109,5688,0.15264,0.3015732,24.82,23.869995,0.242,19.143368,11.726277,287.8787,12.979984,289.44003,12.599999,14.345898,287.52557,13.661038,288.43497,18.472595,303.07068,24.387177,351.51105,37241,4,0.244
21.42,13.66,-0.13,56,0,1015.7,131,1517,3112,5720,0.02448,0.048398193,14.37,16.040009,0.255,7.579317,10.514218,141.95296,13.358861,194.03624,15.84,37.722775,256.75946,29.257614,251.34212,51.64212,215.35196,59.769756,232.09476,51116,10,0.252
2.96,-0.58,-5.28,91,0,1038.8,309,1615,3161,5724,0.0,0.0,0.29,1.7799988,0.284,0.67514753,2.0991426,210.96376,3.7064266,240.9454,4.32,1.2979984,123.69006,22.183128,41.710754,60.481068,36.528854,81.86498,39.2894,8498,12,0.285
14.2,4.52,-3.21,47,0,1015.3,129,1472,3030,5604,0.13104,0.1999487,14.87,11.02002,0.313,8.384161,10.495713,275.90616,11.165805,271.84763,20.880001,19.35314,260.36246,48.067753,253.46516,44.639996,270.0,74.91114,268.34772,1359,2,0.313
7.94,-1.04,-11.4,76,0,1019.6,161,1479,2998,5491,0.04032,0.030499259,6.46,8.679993,0.278,2.4167447,20.150354,251.24136,29.723444,253.10135,34.56,69.48093,269.70312,59.76,270.0,63.642666,250.84763,108.79925,258.35544,38522,5,0.27
19.96,12.27,3.97,56,0,1021.2,179,1560,3158,5813,0.0936,0.3722126,26.69,21.410004,0.21,10.909277,13.324863,91.54815,14.417988,92.862404,15.119999,9.585739,214.28688,30.035742,256.1303,28.694056,246.32947,22.915916,226.27303,14963,9,0.216
25.31,13.77,7.56,53,10,1017.6,150,1548,3163,5870,0.24336,0.4808004,31.58,29.540009,0.253,15.96697,22.314194,287.85034,24.36325,288.9704,28.8,29.951483,283.20108,41.76621,269.01224,38.175278,271.62115,30.319181,299.91364,30760,7,0.256
19.07,14.58,3.77,51,0,1021.1,176,1565,3172,5819,0.00144,0.046165183,13.82,14.720001,0.186,9.241659,6.489992,160.55997,3.6179552,264.28943,15.119999,28.691795,287.52557,30.385365,283.70697,40.66088,290.19983,55.322994,321.3402,59359,10,0.188
18.89,9.12,0.11,75,79,1022.8,192,1567,3149,5796,0.01152,0.005653321,17.07,17.649994,0.261,4.89163,4.829907,243.43495,9.449572,287.7447,13.679999,13.779114,326.7251,13.004922,311.63354,17.283749,305.67642,46.466503,319.3987,30435,6,0.266
0.7,-5.65,-9.42,86,0,1009.0,72,1364,2884,5384,0.0072,0.02874671,3.22,1.9500122,0.296,0.8750968,18.36353,358.8767,19.083395,358.91907,25.919998,23.444265,86.478546,20.870687,75.00492,26.368616,147.82878,22.505037,187.35239,35098,1,0.299
23.74,14.54,3.8,46,0,1015.1,128,1521,3128,5776,0.072,0.12088041,22.5,23.670013,0.234,15.078724,9.0,89.99999,13.698934,93.01279,7.5599995,5.8603754,169.38034,4.510787,241.38954,19.862083,226.46881,25.812277,188.01709,23850,9,0.233
16.48,11.36,5.53,80,0,1020.4,171,1548,3151,5820,0.0,0.0,14.15,15.850006,0.257,3.5030746,3.2399998,270.0,3.7585104,286.69925,15.4800005,21.188072,80.21759,10.703569,70.346176,11.246759,320.19443,25.96995,313.8767,39893,7,0.267
7.87,-0.66,-8.03,78,3,1017.3,142,1458,2987,5510,0.06768,0.024008924,7.79,9.640015,0.314,2.272067,17.163355,99.65989,24.336637,97.65064,23.039999,27.897097,72.734184,13.708391,13.67131,12.964998,271.59113,67.35849,301.22635,55200,4,0.257
5.74,-2.22,-12.21,76,0,1010.0,82,1390,2902,5381,0.02448,0.02329954,3.97,6.1900024,0.26,2.0176811,17.227419,259.1597,25.567604,260.27243,29.519999,65.25937,273.1623,55.44,270.0,47.17511,254.0546,88.502174,240.51529,55034,4,0.253
10.49,0.35,-7.94,71,17,1012.8,106,1434,2962,5502,0.01728,0.010702506,8.56,10.920013,0.263,3.2273502,6.6185193,67.61986,12.7279215,61.2602,8.28,25.0064,67.12633,11.165805,91.8476,16.746773,64.53666,15.349684,140.71059,33188,10,0.267
23.74,16.89,3.44,50,0,1014.0,117,1518,3132,5760,0.07056,0.09988637,19.94,21.920013,0.265,12.6658945,14.764389,181.39719,26.299719,199.17902,31.319998,52.620373,235.87506,67.91894,239.76543,59.04549,230.19443,64.88195,243.29279,24378,10,0.271
6.92,-3.29,-12.79,70,0,997.0,-22,1286,2792,5297,0.036,0.02553994,4.38,5.450012,0.295,2.60433,13.708391,256.3287,20.431387,255.7189,19.8,38.592266,255.96376,35.463196,264.17368,36.102455,253.19131,58.048256,172.87498,35972,2,0.29
9.38,-0.77,-10.75,74,15,1011.8,97,1420,2941,5460,0.01584,0.023946801,7.4,9.200012,0.266,2.7724996,13.493999,260.78897,18.751125,266.69812,12.599999,21.273533,293.9625,10.883676,325.7843,16.87398,326.30994,36.64404,303.37784,51570,11,0.268
19.89,9.64,0.27,73,405,1012.8,109,1483,3069,5683,0.1296,0.25840575,22.03,18.230011,0.295,6.178217,9.007196,272.29062,7.9526596,275.19443,22.68,31.688177,248.6821,43.92,259.61115,61.263493,246.44774,86.295685,243.75563,50869,10,0.243
18.63,9.58,2.69,81,11,1014.5,123,1496,3084,5723,0.05184,0.011527348,17.32,18.779999,0.302,3.7554092,8.373386,244.53665,14.372974,247.9321,15.84,27.288855,278.3439,32.409996,282.18365,52.29426,210.62553,93.579216,214.97397,5278,8,0.237
5.99,-3.1,-12.58,78,3,1013.3,109,1418,2925,5443,0.0504,0.045262292,6.71,8.640015,0.282,1.992485,20.724247,252.8241,26.554728,254.268,31.319998,52.763035,285.838,52.348755,298.32745,88.30206,260.6145,122.61635,232.99553,19338,3,0.281
14.67,5.93,-2.58,61,0,1023.2,194,1545,3112,5687,0.07344,0.05764036,12.62,14.690002,0.302,6.129575,11.525623,345.52972,20.275383,353.88452,18.359999,18.079027,347.34744,18.289274,349.79602,43.29589,3.8140564,41.235325,12.094757,2323,4,0.307
4.74,-4.35,-12.77,80,3,1022.8,184,1485,2990,5499,0.03888,0.013410461,4.94,6.0,0.299,1.6955514,13.084402,277.90717,17.518356,279.46234,17.28,23.006226,290.1363,26.61323,336.9032,58.298885,332.01077,97.0886,351.89996,36861,3,0.298
22.85,12.23,1.91,77,644,1017.9,151,1542,3140,5778,0.03456,0.014684745,20.49,21.230011,0.269,5.6920795,7.10031,210.46555,12.10157,247.24902,17.28,21.96,259.61115,20.46941,235.75098,23.143827,254.66672,23.166218,237.05078,13179,7,0.212
15.77,6.47,-2.92,76,21,1006.9,60,1416,2981,5570,0.05328,0.09647349,12.73,11.529999,0.285,3.8636055,28.58545,238.9125,37.600616,239.50665,47.88,78.88519,248.58704,99.73819,261.4897,74.89125,261.98676,103.85984,286.92752,52380,12,0.286
