Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Relative Humidity [2 m],Basilea Cloud Cover High [high cld lay],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Evapotranspiration,Basilea FAO Reference Evapotranspiration [2 m],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb],ID,month,Basilea Next Day Soil Moisture [0-10 cm down]
23.47,11.36,-1.1,35,0,1021.0,1564,3147,5736,0.1296,0.2378344,25.06,23.580017,18.865316,5.506941,281.30994,12.55879,297.29956,5.00128,329.7436,18.59845,227.3533,37217,3,0.242
22.34,14.08,1.97,61,7,1018.9,1551,3154,5769,0.00144,0.002214031,15.41,17.119995,9.1027565,10.086427,34.824493,9.290511,35.53766,26.282465,216.08508,25.922499,232.33438,51092,10,0.255
2.56,-4.98,-6.09,86,3,1036.0,1579,3107,5669,0.00864,0.0,2.68,3.0500183,1.0310535,15.905319,5.194412,20.620806,16.220184,70.19631,26.170822,100.12013,23.523209,8474,12,0.284
9.92,1.04,-2.48,47,18,1021.3,1498,3048,5642,0.1584,0.2269485,13.18,10.390015,6.633881,13.779114,109.85521,18.043148,118.61046,22.553936,8.25943,36.359997,11.421173,1335,2,0.313
12.08,6.58,-4.2,68,100,1017.1,1489,3051,5631,0.01008,0.016560018,8.74,10.209991,3.6884108,20.188908,158.00887,20.929594,220.8151,64.04055,228.87468,79.60235,237.74742,38498,5,0.278
18.37,7.59,2.0,59,6,1023.3,1562,3141,5790,0.08496,0.29351875,23.65,21.600006,9.111728,5.1919937,326.30994,6.924738,261.02737,22.3229,270.92404,33.441265,284.33545,14939,9,0.21
24.02,11.11,5.17,43,3,1018.5,1546,3146,5811,0.25776,0.49303415,31.02,29.029999,18.023062,18.751125,266.69812,20.418695,260.8698,21.758419,286.33606,33.29173,291.57132,30736,7,0.253
20.4,16.85,3.43,50,2,1023.5,1593,3208,5838,0.00144,0.052982893,12.97,13.640015,9.448242,28.84047,294.32556,35.42846,295.26312,41.798775,290.15173,59.093754,309.31396,59335,10,0.186
16.76,7.44,-1.44,76,0,1020.4,1537,3111,5720,0.00144,0.0,14.81,15.470001,4.158122,7.8954163,313.1524,3.219938,296.56506,8.707237,330.25513,39.241653,337.90576,30411,6,0.261
0.94,-6.36,-11.65,86,16,1006.7,1342,2845,5340,0.03168,0.02722248,1.91,1.3699951,0.8719387,16.454008,10.080597,13.138765,9.462311,36.719997,241.92752,61.655712,222.63376,35074,1,0.296
19.07,11.51,5.21,39,0,1022.4,1557,3161,5822,0.09072,0.16701865,18.43,20.450012,13.164939,27.757376,99.70665,14.332341,101.59217,1.835647,258.69006,19.9954,346.46417,23826,9,0.234
15.79,11.42,3.12,97,0,1018.2,1530,3129,5782,0.0,0.0,14.26,15.890015,0.4917736,17.072504,65.0561,14.693999,30.963745,16.267857,335.1363,32.359974,327.72437,39869,7,0.257
11.0,3.84,-4.05,82,0,1020.7,1510,3064,5616,0.00144,0.0,7.97,9.910004,1.9390802,46.34082,99.38914,13.896187,73.442924,13.527572,64.79888,15.629971,141.5463,55176,4,0.314
12.79,3.04,-5.28,68,100,1012.5,1444,2989,5561,0.0144,0.028311867,9.49,10.240021,3.8763294,21.42227,245.15762,32.2396,246.29736,59.76,270.0,88.63972,282.9074,55010,4,0.26
12.62,1.7,-9.46,60,19,1009.5,1418,2951,5491,0.02736,0.03054297,10.71,12.26001,5.1727076,22.380884,101.12919,21.046917,102.8477,7.754637,201.8014,11.879999,270.0,33164,10,0.263
22.38,13.85,1.97,64,100,1014.9,1519,3126,5758,0.02736,0.070905425,20.28,20.980011,9.052629,18.532135,209.05461,45.81486,239.80838,61.516823,237.42595,78.21533,248.39447,24354,10,0.265
12.92,10.03,-2.58,71,64,996.1,1324,2900,5467,0.00576,0.014105634,7.43,9.119995,3.5889063,28.185955,208.20163,46.834602,214.6673,77.64074,224.81215,96.252045,220.60129,35948,2,0.295
10.49,0.33,-9.94,69,0,1005.2,1372,2898,5405,0.036,0.041334826,9.27,10.350006,3.6215649,47.715958,264.80557,41.797222,280.9228,31.072817,296.86194,45.457035,299.4072,51546,11,0.266
20.51,13.14,1.72,58,100,1016.0,1517,3120,5753,0.09216,0.23444983,23.03,20.360016,10.097917,7.386582,226.97495,32.37799,228.15485,76.856415,218.53407,82.25429,231.57516,50845,10,0.295
24.37,18.06,6.1,70,8,1013.0,1514,3135,5797,0.0216,0.036919218,20.87,22.920013,7.4381447,20.570463,175.98582,41.835964,232.34123,50.184826,233.45891,45.868576,233.93958,5254,8,0.302
16.36,7.47,-0.12,51,0,1012.2,1461,3042,5642,0.10224,0.11773504,13.9,15.110016,8.311425,50.086597,244.90848,58.18428,259.66345,69.792656,289.2761,85.624016,287.3684,19314,3,0.282
10.52,-0.98,-4.04,59,0,1026.1,1539,3082,5660,0.08352,0.03625843,10.78,12.27002,5.225023,6.8777895,42.87889,3.671294,78.69006,51.085762,29.093826,68.856995,21.467636,2299,4,0.302
5.99,-4.29,-15.09,78,0,1018.4,1457,2954,5420,0.04176,0.019360475,5.32,6.230011,1.9664106,47.27528,339.49503,51.342613,345.37915,44.757427,333.22885,80.24125,345.7144,36837,3,0.299
21.11,16.14,4.74,61,0,1014.5,1523,3139,5794,0.0216,0.0686224,19.71,21.24002,9.074635,12.7279215,261.8699,16.923828,268.78113,22.065973,264.38242,28.835976,267.1376,13155,7,0.269
11.95,0.84,-8.06,68,0,1013.4,1446,2980,5537,0.09792,0.10961085,10.39,9.790009,4.1879168,76.33783,257.4712,81.064766,267.7094,69.97441,282.17712,135.5915,290.8409,52356,12,0.285
21.2,16.35,7.09,74,21,1016.1,1535,3157,5836,0.00576,0.02645997,17.75,19.360016,5.5554466,16.563911,91.24536,9.885262,79.50852,26.178707,328.49573,20.3774,327.99463,5764,8,0.219
5.62,-0.06,-6.44,70,94,1018.1,1458,2995,5561,0.02736,0.06232429,4.3,4.360016,2.586255,90.39513,268.40253,89.010315,293.35074,77.690796,317.0655,79.6894,325.30484,43073,11,0.254
14.33,5.92,-0.93,79,23,1022.0,1535,3100,5695,0.00144,0.0,11.17,13.149994,3.0801954,32.839024,257.33493,41.64968,255.4833,48.473164,242.10274,70.20646,244.48615,51143,11,0.248
20.67,16.42,11.06,56,0,1022.2,1587,3231,5928,0.036,0.03133118,21.28,22.690002,10.585292,13.797912,82.504135,3.319036,40.601288,58.674477,345.79324,46.994823,351.1871,21795,6,0.243
2.66,-5.33,-15.44,88,0,995.2,1256,2749,5197,0.03744,0.015396546,0.6,2.119995,0.76927567,67.20535,302.75366,67.25162,312.83075,62.951637,296.12546,64.08607,263.87308,35617,1,0.302
0.4,-0.46,-6.31,71,69,1036.2,1587,3125,5676,0.0288,0.035117455,1.96,-0.049987793,1.9037743,12.096214,233.47115,16.418526,254.74487,27.103003,320.38934,57.96447,334.23068,36153,2,0.283
10.84,5.72,-2.14,57,0,1020.9,1511,3076,5648,0.09072,0.24726398,15.28,10.399994,5.770979,5.771239,183.57634,16.323528,138.57634,18.089775,227.41951,25.984919,222.75426,18685,2,0.269
8.76,0.99,-8.28,69,0,1004.6,1359,2894,5413,0.0576,0.11118529,10.89,11.339996,3.385141,25.959969,289.44003,17.57744,214.99202,66.484116,198.63116,92.08825,216.7355,19738,4,0.327
4.5,8.16,-2.5,54,0,1035.1,1617,3186,5806,0.03456,0.07827735,3.92,0.83999634,3.5048723,32.561596,95.71059,30.141266,97.54941,39.45738,58.050026,57.20489,28.984543,26243,12,0.284
18.95,11.91,4.59,68,0,1020.9,1557,3159,5842,0.0,0.010851968,14.82,16.089996,6.3489017,1.8,180.0,10.239453,280.1247,38.275295,343.61047,66.92902,319.79984,57893,8,0.178
22.29,11.86,2.44,73,0,1011.5,1486,3081,5733,0.02304,0.030170104,19.14,19.690002,6.178217,46.812458,268.67804,45.742672,271.804,60.545322,260.76172,102.24253,289.32812,4991,7,0.233
6.67,-2.39,-7.18,81,100,1016.4,1445,2972,5525,0.04608,0.048120823,6.56,6.4900208,1.8010678,2.5455842,135.0,13.397612,210.69972,33.332577,297.6721,32.825207,291.21796,903,2,0.337
5.69,4.25,-2.76,70,100,1019.9,1492,3053,5631,0.01008,0.010463144,5.84,8.179993,2.6206923,40.908737,96.06178,14.773164,46.97493,23.863409,281.30994,50.589928,294.37646,37827,4,0.217
34.33,21.47,9.61,29,0,1014.8,1565,3208,5908,0.08496,0.5034631,40.22,37.839996,39.785027,11.988594,138.65222,11.792404,238.73627,14.799459,251.56506,13.70839,209.93152,48617,7,0.13
21.18,10.22,1.41,64,100,1013.7,1495,3086,5712,0.11952,0.22617877,26.41,22.480011,9.214834,5.315336,241.69925,13.5515,253.00919,54.16056,229.85309,51.851246,234.3236,40020,7,0.266
18.91,7.77,-0.44,63,100,1006.6,1424,3000,5621,0.108,0.1633932,22.61,20.619995,7.975319,7.2359104,95.71059,5.6920996,251.56506,40.220234,225.0,94.51628,199.8153,32078,8,0.342
21.71,14.41,3.72,40,0,1022.0,1572,3177,5828,0.12096,0.345529,25.58,20.959991,16.076992,6.989936,235.49149,13.849477,242.10274,18.751125,176.69814,43.53619,209.74489,6949,10,0.237
21.01,10.8,1.62,60,48,1014.9,1507,3098,5729,0.02016,0.03064297,19.77,21.050018,9.204129,20.730501,249.67686,27.792374,253.44293,43.644707,241.95532,69.929016,253.24426,4895,7,0.254
11.41,8.64,-3.35,81,100,1004.9,1388,2955,5524,0.00576,0.013068478,5.21,6.6900024,1.8285561,28.202042,194.03624,42.08922,194.86829,79.18772,223.7106,82.15891,221.09146,1487,3,0.321
7.72,-1.39,-11.61,82,23,997.9,1299,2816,5307,0.01152,0.008630566,4.49,6.3399963,1.6077657,37.11319,251.91656,52.99953,256.24695,55.543926,243.43495,71.534996,224.38832,51631,11,0.263
9.2,-2.65,-9.84,47,100,1002.1,1337,2857,5376,0.09504,0.21003307,12.92,11.149994,6.039339,28.808998,271.4321,31.093666,264.68546,62.208164,253.87244,80.25336,260.7067,54159,3,0.24
7.95,1.11,-4.94,55,0,1027.5,1547,3092,5645,0.0,0.025333257,1.29,3.230011,3.725388,11.609651,150.25511,6.0347,162.64597,2.52,360.0,9.36,360.0,45457,3,0.244
19.12,11.68,2.75,88,34,1015.9,1512,3108,5756,0.03024,0.04074614,19.42,19.820007,2.57691,38.6208,281.83365,51.481255,269.59933,23.1774,223.11182,107.424866,232.89969,5816,8,0.28
10.31,7.08,-0.28,35,0,1035.4,1622,3199,5801,0.1224,0.2653562,14.92,10.940002,8.546295,21.749481,102.42594,43.85651,99.92624,26.795223,59.300278,50.16416,43.54608,18830,2,0.263
16.71,12.29,3.42,76,0,1019.1,1535,3135,5795,0.05328,0.15555611,20.24,18.25,4.663409,16.79314,329.03625,19.346441,315.0,40.310356,287.14035,53.78477,306.5631,23745,9,0.237
24.85,14.06,4.45,57,0,1019.0,1560,3169,5817,0.0432,0.08629383,23.43,25.559998,12.776295,41.085762,81.940895,31.68818,91.30195,15.509274,111.80141,6.9247384,117.89726,32539,9,0.233
5.09,-1.97,-10.6,73,16,1016.1,1441,2961,5461,0.0072,0.017411526,2.66,4.6400146,2.1101403,14.33234,154.72227,6.9247384,207.89728,30.351225,247.69379,36.204617,228.22452,9621,2,0.28
23.56,16.99,5.58,75,49,1012.2,1509,3126,5793,0.00288,0.010842954,18.2,19.77002,5.699316,1.4399999,270.0,9.114471,279.09027,12.979984,303.69006,14.512064,299.74487,49515,8,0.174
26.26,13.53,4.4,46,0,1015.0,1529,3135,5781,0.144,0.20476516,26.74,27.339996,18.043896,14.4,89.99999,15.124284,88.63607,21.42227,245.15762,12.218805,225.0,21547,6,0.256
18.07,8.04,-2.17,85,0,1015.5,1500,3074,5667,0.00864,0.001494302,15.2,15.390015,2.7422447,32.44996,273.17984,33.574707,274.30447,56.454613,264.14398,91.601425,249.28583,50885,10,0.299
17.6,6.6,-3.69,69,0,1016.6,1501,3063,5641,0.00288,0.001612103,14.4,16.26001,5.7035303,12.10157,329.62088,18.36353,358.8767,15.119999,360.0,31.072817,223.12213,20997,5,0.26
26.58,20.5,8.06,69,0,1015.9,1556,3195,5869,0.04752,0.14067765,27.62,24.679993,10.200233,47.297207,265.63477,40.737305,258.78937,31.75355,266.0995,29.74306,231.88173,21871,7,0.254
24.24,12.09,0.67,48,0,1012.5,1498,3089,5697,0.00432,0.015452886,21.15,23.160004,14.520252,3.5455887,23.962494,5.1919937,33.690063,9.0645685,6.8427734,26.400545,354.52264,29973,6,0.292
1.07,1.18,-6.28,89,15,1032.7,1564,3100,5673,0.04896,0.069091134,6.28,4.9599915,0.7868495,5.991594,57.26477,18.486622,6.7098236,49.837578,355.4426,76.71041,358.38647,17364,12,0.294
5.89,-3.32,-12.9,82,82,1017.8,1452,2959,5449,0.04608,0.0172332,5.83,7.2900085,1.6167121,46.579323,4.432663,34.57687,1.7899017,18.59845,345.42578,21.398056,167.36664,7417,11,0.273
18.35,12.03,0.91,81,100,1016.2,1517,3110,5745,0.01296,0.028427163,18.37,17.589996,3.7839584,22.73707,246.68228,29.257614,235.52779,25.96995,226.1233,14.372974,247.9321,41119,9,0.221
