timestamp,Basilea Temperature [2 m elevation corrected],Basilea Precipitation Total,Basilea FAO Reference Evapotranspiration [2 m]
20220101T0000,9.710529,0,0.011280082
20220101T0100,9.190529,0,0.009034576
20220101T0200,9.060529,0,0.018492702
20220101T0300,8.900529,0,0.026381534
20220101T0400,8.740529,0,0.028229186
20220101T0500,8.290529,0,0.024259012
20220101T0600,7.9805284,0,0.020040685
20220101T0700,7.4105287,0,0.01751101
20220101T0800,6.9405284,0,0.018137671
20220101T0900,6.3805285,0,0.0198348
20220101T1000,5.8405285,0,0.018480064
20220101T1100,6.0705285,0,0.049145628
20220101T1200,7.9105287,0,0.09146402
20220101T1300,10.280529,0,0.12791213
20220101T1400,11.510529,0,0.15074082
20220101T1500,12.910529,0,0.1499283
20220101T1600,13.560529,0,0.122886725
20220101T1700,13.080529,0,0.07435014
20220101T1800,12.130529,0,0.031792928
20220101T1900,9.540529,0,0.01484344
20220101T2000,7.9305286,0,0.004485023
20220101T2100,7.1705284,0,0.002306123
20220101T2200,7.0205283,0,0.002951592
20220101T2300,7.6405287,0,0.008277836
20220102T0000,8.490529,0,0.017002868
20220102T0100,8.780529,0,0.024150882
20220102T0200,8.600529,0,0.02697077
20220102T0300,8.200529,0,0.02654127
20220102T0400,8.350529,0,0.024369119
20220102T0500,8.010529,0,0.02558248
20220102T0600,7.6305285,0,0.023353806
20220102T0700,7.1205287,0,0.01737551
20220102T0800,7.0005283,0,0.013073442
20220102T0900,6.3905287,0,0.009468395
20220102T1000,6.6005287,0,0.010929075
20220102T1100,7.5105286,0,0.04640099
20220102T1200,8.330529,0,0.07955565
20220102T1300,10.280529,0,0.112036385
20220102T1400,11.480529,0,0.09593911
20220102T1500,13.360529,0,0.14529307
20220102T1600,16.270529,0,0.15292963
20220102T1700,15.970529,0,0.1351197
20220102T1800,14.760529,0,0.063795105
20220102T1900,13.320529,0,0.058263537
20220102T2000,12.510529,0,0.054982994
20220102T2100,12.340529,0,0.057366718
20220102T2200,12.190529,0,0.055556897
20220102T2300,11.910529,0,0.04887018
20220103T0000,11.740529,0,0.05056529
20220103T0100,11.590529,0,0.054692827
20220103T0200,11.750529,0,0.06404125
20220103T0300,11.570529,0,0.058173954
20220103T0400,11.210529,0,0.05529255
20220103T0500,10.580529,0,0.053113163
20220103T0600,10.530529,0,0.053967662
20220103T0700,10.3005295,0,0.042514782
20220103T0800,10.090529,0,0.0398127
20220103T0900,9.5505295,0,0.033884954
20220103T1000,9.530529,0,0.037457198
20220103T1100,10.600529,0,0.07906413
20220103T1200,11.530529,0,0.12538628
20220103T1300,12.040529,0,0.16045453
20220103T1400,12.930529,0,0.17505047
20220103T1500,13.220529,0,0.18210426
20220103T1600,13.120529,0,0.1582748
20220103T1700,12.630529,0,0.12175049
20220103T1800,11.580529,0,0.061985835
20220103T1900,11.440529,0,0.053237405
20220103T2000,11.510529,0,0.05980033
20220103T2100,11.200529,0,0.05087974
20220103T2200,11.090529,0,0.042028718
20220103T2300,11.270529,0,0.042029586
20220104T0000,11.140529,0,0.038921434
20220104T0100,10.400529,0.1,0.023766125
20220104T0200,10.440529,0,0.027475446
20220104T0300,10.500529,0.1,0.027659291
20220104T0400,10.440529,0.3,0.023174653
20220104T0500,10.730529,0.1,0.017302278
20220104T0600,10.730529,0.1,0.03889643
