timestamp,Basilea Temperature [2 m elevation corrected],Basilea Growing Degree Days [2 m elevation corrected],Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Sunshine Duration,Basilea Shortwave Radiation,Basilea Direct Shortwave Radiation,Basilea Diffuse Shortwave Radiation,Basilea Precipitation Total,Basilea Snowfall Amount,Basilea Relative Humidity [2 m],Basilea Cloud Cover Total,Basilea Cloud Cover High [high cld lay],Basilea Cloud Cover Medium [mid cld lay],Basilea Cloud Cover Low [low cld lay],Basilea CAPE [180-0 mb above gnd],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [1000 mb],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Soil Moisture [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m],Basilea Wind Speed [80 m],Basilea Wind Direction [80 m],Basilea Wind Gust,Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb]
2022-01-01T00:00:00,9.710529,0,11.92,8.78,-0.33,0,0,0,0,0,0,67,0,0,0,0,0,1028.8,237,1591,3170,5791,4.35,5.75,0.274,3.9601479,5.8048253,119.74488,4.1046314,195.25513,12.959999,30.962095,269.3338,32.686733,277.59464,45.737003,295.1531,75.7584,318.6604
2022-01-01T01:00:00,9.190529,0,11.41,8.51,0,0,0,0,0,0,0,74,0,0,0,0,0,1029.1,239,1591,3169,5793,3.98,5.2900085,0.274,3.0130196,6.696387,143.74615,5.6233797,219.80557,13.32,33.31508,276.20346,32.19938,280.30487,42.650505,291.8014,69.75644,315.83636
2022-01-01T02:00:00,9.060529,0,11.54,8.3,0.32,0,0,0,0,0,0,66,0,0,0,0,0,1029.4,240,1592,3169,5796,3.69,4.9200134,0.246,3.9057589,7.729527,152.24146,6.4096174,218.15723,21.96,30.009838,280.36633,29.723444,281.17383,42.805195,288.1302,66.953224,314.34647
2022-01-01T03:00:00,8.900529,0,11.84,8.29,0.36,0,0,0,0,0,0,59,0,0,0,0,0,1030.2,247,1598,3176,5804,3.36,4.5899963,0.246,4.659353,8.287822,145.61966,6.6087217,209.35776,18,26.019806,284.42078,27.645092,278.23563,41.792576,287.03015,65.53285,311.65967
2022-01-01T04:00:00,8.740529,0,11.96,8.52,0.41,0,0,0,0,0,0,56,0,0,0,0,0,1029.5,241,1592,3171,5799,3.07,4.2900085,0.246,4.946565,8.14587,135,7.5685663,182.72632,14.04,23.664352,283.1906,26.368616,274.69867,40.711845,291.8014,62.00889,310.99817
2022-01-01T05:00:00,8.290529,0,11.82,8.9,0.41,0,0,0,0,0,0,58,0,0,0,0,0,1028.7,235,1585,3165,5793,2.73,4,0.246,4.5801077,7.7043357,127.40535,8.707237,150.25511,10.08,20.833395,279.95062,26.341572,273.91827,41.700993,297.22867,59.83477,307.42148
2022-01-01T06:00:00,7.9805284,0,11.79,9.17,0.62,0,0,0,0,0,0,63,0,0,0,0,0,1028.9,236,1587,3168,5796,2.43,3.7099915,0.246,3.9508467,7.729527,117.75854,10.495713,120.96376,5.7599998,18.448023,275.59933,25.651104,274.8304,40.813583,300.1837,55.2163,304.1045
2022-01-01T07:00:00,7.4105287,0,11.52,9.49,0.76,0,0,0,0,0,0,67,0.3,1,0,0,0,1029.4,239,1592,3173,5801,2.16,3.4400024,0.246,3.389545,8.089993,110.854454,13.37825,113.80594,7.92,16.203999,271.27304,24.144165,272.56378,39.3439,304.56253,53.470604,298.1179
2022-01-01T08:00:00,6.9405284,0,11.28,9.45,0.97,0,0,0,0,0,0,67,0.3,1,0,0,0,1029.4,239,1593,3175,5804,1.86,3.1700134,0.246,3.282318,8.427383,109.9831,16.42247,116.00334,8.64,14.764389,268.60284,23.110207,274.46716,38.175278,308.49106,52.52053,298.67316
2022-01-01T09:00:00,6.3805285,0,11.26,9.51,1.32,0,0,0,0,0,0,66,0.90000004,3,0,0,0,1028.6,231,1587,3170,5798,1.62,2.9200134,0.246,3.2541895,8.891344,111.37062,17.238699,118.70595,9.36,14.471821,264.28943,20.633371,276.009,36.68822,312.61407,47.55544,299.4759
