timestamp,Basilea Temperature [2 m elevation corrected],Basilea Growing Degree Days [2 m elevation corrected],Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Sunshine Duration,Basilea Shortwave Radiation,Basilea Direct Shortwave Radiation,Basilea Diffuse Shortwave Radiation,Basilea Precipitation Total,Basilea Snowfall Amount,Basilea Relative Humidity [2 m],Basilea Cloud Cover Total,Basilea Cloud Cover High [high cld lay],Basilea Cloud Cover Medium [mid cld lay],Basilea Cloud Cover Low [low cld lay],Basilea CAPE [180-0 mb above gnd],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [1000 mb],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Evapotranspiration,Basilea FAO Reference Evapotranspiration [2 m],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Soil Moisture [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m],Basilea Wind Speed [80 m],Basilea Wind Direction [80 m],Basilea Wind Gust,Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb],Basilea Next Day Soil Moisture [0-10 cm down],predicted_soil_m
20230501T0000,14.750529,0.19793873,15.58,6.37,-4.16,0.0,0.0,0.0,0.0,0.0,0,61,100.0,100,100,100,103,1016.0,136,1491,3053,5630,0.00288,0.0,13.61,14.350006,0.259,6.5179873,2.4149535,153.43495,6.297428,120.963745,3.96,23.210928,113.78202,8.557102,104.620865,10.464798,93.945175,45.94762,209.57784,0.276,0.238
20230501T0100,14.200529,0.17502205,14.96,6.25,-4.73,0.0,0.0,0.0,0.0,0.0,0,62,100.0,94,100,100,116,1016.2,138,1490,3049,5627,0.00288,0.008301189,13.21,13.880005,0.259,6.129264,4.0249224,169.69516,7.8954163,136.84761,7.2,17.388409,117.09555,9.3669195,87.7974,12.261158,93.366455,52.03588,197.30673,0.275,0.238
20230501T0200,12.740529,0.11418871,13.41,5.87,-4.5,0.0,0.0,0.0,0.0,0.3,0,76,100.0,0,100,100,113,1015.8,133,1481,3041,5617,0.00576,0.0,12.71,13.459991,0.262,3.5202236,0.71999997,180.0,5.00128,120.25643,2.16,8.699793,114.44395,9.826088,81.57303,14.973576,80.31121,51.675987,202.0979,0.275,0.243
20230501T0300,11.820529,0.075855374,12.28,5.64,-4.14,0.0,0.0,0.0,0.0,1.7,0,88,100.0,0,100,100,62,1016.2,135,1479,3040,5614,0.01728,0.0,12.21,13.040009,0.275,1.6568928,2.4149535,243.43495,2.5959969,236.30994,4.68,3.396233,147.99461,12.261158,86.63353,10.931203,72.75854,57.63711,206.7251,0.274,0.298
20230501T0400,11.530529,0.063772045,12.18,4.81,-3.9,0.0,0.0,0.0,0.0,4.1,0,94,100.0,0,100,100,21,1015.9,134,1476,3036,5609,0.01008,0.0,11.9,12.660004,0.309,0.8127403,4.0249224,206.56505,5.0911684,225.0,5.3999996,12.57426,256.7595,6.849467,86.98721,5.6920996,108.434944,54.02999,203.14847,0.274,0.274
20230501T0500,11.420529,0.059188724,11.92,5.02,-3.65,0.0,1.78,0.00702095,1.772979,4.5,0,94,100.0,7,100,100,29,1016.2,136,1480,3038,5609,0.00288,0.018560559,11.67,12.360016,0.337,0.80685234,5.4119864,176.18593,7.2359104,185.71059,8.28,9.36,270.0,6.379216,73.61045,12.879752,153.43495,51.35902,206.20584,0.273,0.274
20230501T0600,11.320529,0.055022042,11.76,5.06,-4.06,0.0,26.699999,0.8422413,25.857758,3.2,0,92,100.0,0,100,100,59,1016.3,137,1481,3037,5607,0.03312,0.027388718,11.86,12.190002,0.341,1.0687084,6.989936,214.50853,8.14587,225.0,10.799999,15.273505,315.0,10.195057,42.137573,10.446206,91.97493,53.496044,216.79279,0.273,0.274
20230501T0700,11.770529,0.073772036,12.16,5.1,-4.58,0.0,56.07,1.3746262,54.695374,3.0,0,93,100.0,0,100,100,116,1016.4,137,1483,3036,5605,0.03888,0.0401249,12.44,12.240021,0.343,0.9633398,7.2805495,261.46924,9.36,270.0,10.799999,25.922499,307.66562,20.808498,329.8863,10.464797,49.184906,57.320316,212.69199,0.272,0.298
20230501T0800,12.670529,0.11127206,12.93,4.06,-4.83,0.0,99.68,2.9075012,96.7725,1.5,0,89,100.0,0,100,100,76,1017.1,144,1489,3041,5609,0.05184,0.06434217,13.59,12.540009,0.337,1.6060591,12.261158,266.63354,14.440443,265.71085,16.919998,21.868332,327.0948,24.503809,349.84573,12.287555,328.17255,50.528404,212.78427,0.271,0.298
20230501T0900,13.970529,0.1654387,13.85,4.32,-4.96,0.0,256.32,59.00363,197.31638,0.6,0,80,100.0,0,50,100,82,1016.7,141,1488,3040,5605,0.11376,0.14182714,16.35,13.399994,0.33,3.1782284,14.05845,256.67548,14.685176,258.69006,17.64,22.91026,315.0,18.289274,323.8068,18.947083,345.69974,50.52456,214.25621,0.271,0.298
