Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	5	2023	11.76	11.76	21.5	1.64
2	5	2023	10.8	10.8	0.0	3.14
3	5	2023	7.53	7.53	0.0	4.75
4	5	2023	9.33	9.33	0.0	4.5
5	5	2023	16.58	16.58	1.7	3.16
6	5	2023	14.68	14.68	0.0	4.04
7	5	2023	15.23	15.23	9.0	1.73
8	5	2023	14.05	14.05	1.8	2.56
9	5	2023	15.12	15.12	5.8	2.43
10	5	2023	11.17	11.17	0.2	3.26
11	5	2023	9.86	9.86	1.0	2.38
12	5	2023	11.32	11.32	0.1	2.8
13	5	2023	11.24	11.24	0.4	2.5
14	5	2023	11.78	11.78	0.4	2.54
15	5	2023	13.7	13.7	1.2	2.91
16	5	2023	10.96	10.96	3.8	1.79
17	5	2023	3.81	3.81	0.0	3.27
18	5	2023	2.9	2.9	0.0	3.92
19	5	2023	8.6	8.6	0.4	3.52
20	5	2023	11.73	11.73	0.3	3.87
21	5	2023	15.8	15.8	0.0	4.82
22	5	2023	18.34	18.34	0.3	3.62
23	5	2023	16.79	16.79	0.4	2.62
24	5	2023	10.16	10.16	1.9	2.79
25	5	2023	7.84	7.84	1.5	4.76
26	5	2023	10.42	10.42	0.0	4.77
27	5	2023	10.45	10.45	0.0	5.14
28	5	2023	13.62	13.62	0.0	5.41
29	5	2023	13.45	13.45	0.0	5.76
30	5	2023	11.06	11.06	0.0	4.95
31	5	2023	9.76	9.76	0.0	5.64
1	6	2023	14.31	14.31	0.0	4.95
2	6	2023	13.08	13.08	0.0	5.43
3	6	2023	13.69	13.69	0.2	5.16
4	6	2023	17.58	17.58	0.0	4.79
5	6	2023	15.7	15.7	0.0	4.59
6	6	2023	16.38	16.38	0.0	5.68
7	6	2023	15.06	15.06	0.0	5.54
8	6	2023	16.99	16.99	0.2	4.73
9	6	2023	17.63	17.63	0.0	6.1
10	6	2023	18.32	18.32	0.2	5.2
11	6	2023	19.04	19.04	0.0	4.77
12	6	2023	17.44	17.44	0.0	6.38
13	6	2023	15.62	15.62	0.0	6.47
14	6	2023	13.5	13.5	0.0	5.91
15	6	2023	15.0	15.0	0.0	5.46
16	6	2023	17.12	17.12	0.0	5.66
17	6	2023	18.63	18.63	0.0	5.92
18	6	2023	20.87	20.87	0.8	5.31
19	6	2023	21.4	21.4	0.4	5.92
20	6	2023	23.0	23.0	1.0	5.94
21	6	2023	21.68	21.68	0.2	4.49
22	6	2023	20.69	20.69	2.8	5.24
23	6	2023	16.77	16.77	0.0	6.14
