Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	5	2023	11.76	16.66	21.5	1.64
2	5	2023	10.8	16.24	0.0	3.14
3	5	2023	7.53	20.38	0.0	4.75
4	5	2023	9.33	23.76	0.0	4.5
5	5	2023	16.58	21.61	1.7	3.16
6	5	2023	14.68	22.25	0.0	4.04
7	5	2023	15.23	20.33	9.0	1.73
8	5	2023	14.05	18.62	1.8	2.56
9	5	2023	15.12	20.88	5.8	2.43
10	5	2023	11.17	14.71	0.2	3.26
11	5	2023	9.86	14.57	1.0	2.38
12	5	2023	11.32	15.92	0.1	2.8
13	5	2023	11.24	15.55	0.4	2.5
14	5	2023	11.78	16.15	0.4	2.54
15	5	2023	13.7	17.43	1.2	2.91
16	5	2023	10.96	14.93	3.8	1.79
17	5	2023	3.81	15.79	0.0	3.27
18	5	2023	2.9	18.18	0.0	3.92
19	5	2023	8.6	19.61	0.4	3.52
20	5	2023	11.73	22.41	0.3	3.87
21	5	2023	15.8	23.8	0.0	4.82
22	5	2023	18.34	23.88	0.3	3.62
23	5	2023	16.79	21.16	0.4	2.62
24	5	2023	10.16	17.22	1.9	2.79
25	5	2023	7.84	23.99	1.5	4.76
26	5	2023	10.42	23.55	0.0	4.77
27	5	2023	10.45	24.5	0.0	5.14
28	5	2023	13.62	25.49	0.0	5.41
29	5	2023	13.45	25.81	0.0	5.76
30	5	2023	11.06	24.23	0.0	4.95
31	5	2023	9.76	24.39	0.0	5.64
1	6	2023	14.31	24.83	0.0	4.95
2	6	2023	13.08	24.79	0.0	5.43
3	6	2023	13.69	24.51	0.2	5.16
4	6	2023	17.58	24.73	0.0	4.79
5	6	2023	15.7	24.39	0.0	4.59
6	6	2023	16.38	24.99	0.0	5.68
7	6	2023	15.06	25.56	0.0	5.54
8	6	2023	16.99	26.63	0.2	4.73
9	6	2023	17.63	27.53	0.0	6.1
10	6	2023	18.32	25.67	0.2	5.2
11	6	2023	19.04	26.85	0.0	4.77
12	6	2023	17.44	27.22	0.0	6.38
13	6	2023	15.62	25.99	0.0	6.47
14	6	2023	13.5	25.51	0.0	5.91
15	6	2023	15.0	24.6	0.0	5.46
16	6	2023	17.12	25.67	0.0	5.66
17	6	2023	18.63	28.17	0.0	5.92
18	6	2023	20.87	29.67	0.8	5.31
19	6	2023	21.4	30.77	0.4	5.92
20	6	2023	23.0	32.45	1.0	5.94
21	6	2023	21.68	29.77	0.2	4.49
22	6	2023	20.69	32.85	2.8	5.24
23	6	2023	16.77	25.65	0.0	6.14
24	6	2023	17.54	27.18	0.0	6.85
25	6	2023	17.04	29.76	0.0	6.11
26	6	2023	22.89	28.43	0.0	6.72
27	6	2023	17.43	24.9	0.0	5.85
28	6	2023	17.09	26.7	0.0	5.85
29	6	2023	19.34	28.04	1.9	5.2
30	6	2023	18.72	22.75	8.7	2.81
1	7	2023	17.02	22.93	0.0	3.84
2	7	2023	17.82	24.55	0.0	5.47
3	7	2023	19.75	25.03	0.1	6.13
4	7	2023	19.01	24.56	0.2	4.48
5	7	2023	18.3	23.32	1.9	5.2
6	7	2023	15.03	25.21	0.0	5.6
7	7	2023	18.84	30.53	0.0	6.92
8	7	2023	20.88	32.35	0.0	6.84
9	7	2023	25.15	34.52	0.0	7.25
10	7	2023	24.61	32.26	0.0	6.58
11	7	2023	25.27	36.35	6.7	6.91
12	7	2023	23.99	28.53	3.1	4.27
13	7	2023	18.24	25.62	0.3	5.77
14	7	2023	19.08	30.04	0.0	6.43
15	7	2023	23.85	34.61	0.0	7.51
16	7	2023	18.54	26.16	0.4	4.79
17	7	2023	21.26	27.39	0.0	5.97
18	7	2023	18.94	31.6	0.2	5.73
19	7	2023	24.95	30.86	0.0	7.31
20	7	2023	19.1	27.49	0.0	5.77
21	7	2023	21.8	25.62	1.9	3.75
22	7	2023	18.42	26.37	0.0	6.28
23	7	2023	20.0	30.05	0.0	5.43
24	7	2023	20.32	28.0	6.7	2.48
25	7	2023	13.17	22.18	3.6	3.62
26	7	2023	12.72	20.98	3.1	3.32
27	7	2023	16.66	27.2	0.0	5.6
28	7	2023	21.07	25.62	0.1	3.74
