time_step_counter,growing_season,dap,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,time_step_counter,season_counter,dap,Wr,z_gw,surface_storage,IrrDay,Infl,Runoff,DeepPerc,CR,GwIn,Es,EsPot,Tr,TrPot,time_step_counter,season_counter,dap,gdd,gdd_cum,z_root,canopy_cover,canopy_cover_ns,biomass,biomass_ns,harvest_index,harvest_index_adj,yield_,Season,crop Type,Harvest Date (YYYY/MM/DD),Harvest Date (Step),Yield (tonne/ha),Seasonal irrigation (mm)
0.0,1.0,1.0,0.44207,0.37437605444181427,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.0,0.0,1.0,114.97,-999.0,0.0,0.0,16.798049227839325,4.701950772160675,11.762662701947407,0.0,0.0,1.793,1.793,0.0,0.0,0.0,0.0,1.0,11.85,11.85,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PotatoLocal,2023-09-03,124.0,10.075273007891631,200.0
1.0,1.0,2.0,0.3182502377672684,0.35323023776726836,0.34584699131834484,0.33995391113206774,0.3371356841823062,0.33553962158108547,0.3345314964446682,0.3338453719067801,0.3333524847297657,0.3329836648532709,0.3326987397623943,0.33247291938213314,1.0,0.0,2.0,101.73,-999.0,0.0,0.0,0.0,0.0,8.360250443156595,0.0,0.0,3.4980000000000007,3.4980000000000007,0.0,0.0,1.0,0.0,2.0,11.52,23.369999999999997,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2.0,1.0,3.0,0.2661102377672684,0.33562414948784053,0.3338810307392975,0.33321529054873034,0.33296717338715115,0.3326532221026241,0.3323741924832818,0.3321404043292975,0.33194611798529977,0.33178377742477566,0.3316468570080461,0.33153020455547233,2.0,0.0,3.0,93.56,-999.0,0.0,0.0,0.0,0.0,5.182870300826817,0.0,0.0,5.214,5.214,0.0,0.0,2.0,0.0,3.0,11.955,35.324999999999996,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3.0,1.0,4.0,0.2255192036742442,0.33139908084136543,0.3309679992234723,0.33080275525499264,0.33079453048136953,0.3307803099598405,0.33075430172074455,0.33072375362139245,0.3306924192329823,0.3306620378988204,0.33063334767502156,0.3306066008923322,3.0,0.0,4.0,88.78999999999999,-999.0,0.0,0.0,0.0,0.0,2.0945283249482856,0.0,0.0,4.0591034093024385,4.9719999999999995,0.0,0.0,3.0,0.0,4.0,14.545000000000002,49.87,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4.0,1.0,5.0,0.21000332056737722,0.33035025899589576,0.3302424944115261,0.3302011487022146,0.3301990902459501,0.3301987011526209,0.3301979964397036,0.33019628630774545,0.3301938002225434,0.33019079635834786,0.33018747906364015,0.3301839945840456,4.0,0.0,5.0,87.06,-999.0,0.0,0.0,1.7,0.0,0.6475090318100274,0.0,0.0,3.2515883106867194,3.4320000000000004,0.0,0.0,4.0,0.0,5.0,16.805,66.675,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
5.0,1.0,6.0,0.18084682433263624,0.3300878247956516,0.33006081343083654,0.33005044775308595,0.3300499316492723,0.33004983409398825,0.3300498139850104,0.3300497841313785,0.3300496914585357,0.330049530391305,0.3300493064099482,0.33004902905128686,5.0,0.0,6.0,84.1,-999.0,0.0,0.0,0.0,0.0,0.17460393339343627,0.0,0.0,2.915649623474123,4.455,0.0,0.0,5.0,0.0,6.0,16.465,83.14,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
6.0,1.0,7.0,0.25403682433263625,0.3300220300379307,0.3300152551021313,0.33001265505870847,0.33001252560126587,0.3300125011308613,0.3300124960867991,0.33001249500593066,0.33001249393682064,0.3300124896974095,0.33001248105494196,0.33001246742926904,6.0,0.0,7.0,91.4,-999.0,0.0,0.0,9.2,0.0,0.04461170082307298,0.0,0.0,1.881,1.881,0.0,0.0,6.0,0.0,7.0,15.085,98.225,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
7.0,1.0,8.0,0.2426283897061233,0.3300055265742521,0.3300038270159932,0.33000317476078944,0.33000314228454924,0.3300031361457989,0.33000313488042377,0.33000313460927255,0.3300031345498028,0.3300031345188439,0.3300031343531476,0.33000313395952074,7.0,0.0,8.0,90.26,-999.0,0.0,0.0,1.6,0.0,0.011227648967429229,0.0,0.0,2.7408434626513314,2.8160000000000003,0.0,0.0,7.0,0.0,8.0,14.335,112.56,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
8.0,1.0,9.0,0.27534838970612324,0.3300013864604174,0.33000096009198704,0.3300007964600537,0.3300007883126976,0.3300007867726612,0.3300007864552149,0.33000078638719094,0.3300007863722716,0.33000078636894536,0.3300007863683526,0.33000078636284125,8.0,0.0,9.0,93.53,-999.0,0.0,0.0,6.0,0.0,0.002817723976067876,0.0,0.0,2.728,2.728,0.0,0.0,8.0,0.0,9.0,15.11,127.67,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
9.0,1.0,10.0,0.23961666299094447,0.3300003478256662,0.33000024086143637,0.3300001998106037,0.3300001977666515,0.3300001973802978,0.330000197300659,0.33000019728359364,0.3300001972798508,0.33000019727901636,0.3300001972788677,0.3300001972788316,9.0,0.0,10.0,89.96000000000001,-999.0,0.0,0.0,0.0,0.0,0.0007069067158964031,0.0,0.0,3.573172671517925,3.575,0.0,0.0,9.0,0.0,10.0,10.754999999999999,138.425,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
