Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	5	2023	11.76	15.94	21.5	1.63
2	5	2023	10.8	16.24	0.0	3.18
3	5	2023	7.53	20.38	0.0	4.74
4	5	2023	9.33	23.76	0.0	4.52
5	5	2023	16.58	21.03	1.7	3.12
6	5	2023	14.68	22.25	0.0	4.05
7	5	2023	15.06	19.11	9.2	1.71
8	5	2023	14.05	18.62	1.6	2.56
9	5	2023	13.34	20.88	6.0	2.48
10	5	2023	10.97	14.54	0.0	3.25
11	5	2023	9.86	14.57	1.0	2.35
12	5	2023	11.32	15.92	0.1	2.79
13	5	2023	11.24	15.55	0.4	2.5
14	5	2023	11.78	16.15	0.4	2.57
15	5	2023	13.7	17.43	1.2	2.9
16	5	2023	9.23	14.76	3.8	1.81
17	5	2023	3.81	15.79	0.0	3.25
18	5	2023	2.9	18.18	0.0	3.95
19	5	2023	8.6	19.61	0.4	3.47
20	5	2023	11.73	22.41	0.3	3.87
21	5	2023	15.8	23.8	0.0	4.84
22	5	2023	18.34	23.88	0.3	3.6
23	5	2023	14.76	21.16	0.4	2.62
24	5	2023	10.16	17.22	2.8	2.81
25	5	2023	7.84	23.99	0.6	4.75
26	5	2023	10.42	23.55	0.0	4.77
27	5	2023	10.45	24.5	0.0	5.16
28	5	2023	13.62	25.49	0.0	5.41
29	5	2023	13.45	25.81	0.0	5.74
30	5	2023	11.06	24.23	0.0	4.96
31	5	2023	9.76	24.39	0.0	5.63
1	6	2023	14.31	24.83	0.0	4.95
2	6	2023	13.08	24.79	0.0	5.42
3	6	2023	13.69	24.51	0.2	5.2
4	6	2023	17.58	24.73	0.0	4.75
5	6	2023	15.7	24.39	0.0	4.63
6	6	2023	16.38	24.99	0.0	5.71
7	6	2023	15.06	25.56	0.0	5.49
8	6	2023	16.99	26.63	0.2	4.77
9	6	2023	17.63	27.53	0.0	6.07
10	6	2023	18.32	25.67	0.2	5.21
11	6	2023	19.04	26.85	0.0	4.77
12	6	2023	17.44	27.22	0.0	6.44
13	6	2023	15.62	25.99	0.0	6.41
14	6	2023	13.5	25.51	0.0	5.94
15	6	2023	15.0	24.6	0.0	5.44
16	6	2023	17.12	25.67	0.0	5.7
17	6	2023	18.63	28.17	0.0	5.89
18	6	2023	20.87	29.67	0.8	5.28
19	6	2023	21.4	30.77	0.6	5.92
20	6	2023	23.0	32.45	0.9	5.96
21	6	2023	21.68	29.77	0.1	4.44
22	6	2023	18.21	32.85	2.8	5.4
23	6	2023	16.77	25.65	0.0	6.04
24	6	2023	17.54	27.18	0.0	6.84
25	6	2023	17.04	29.76	0.0	6.12
26	6	2023	21.47	28.43	0.0	6.73
27	6	2023	17.43	24.9	0.0	5.85
28	6	2023	17.09	26.7	0.0	5.84
29	6	2023	19.34	28.04	2.8	5.27
30	6	2023	18.72	22.75	7.8	2.73
1	7	2023	17.02	22.93	0.0	3.86
2	7	2023	17.82	24.55	0.0	5.49
3	7	2023	19.75	25.03	0.1	6.1
4	7	2023	19.01	24.56	0.2	4.48
5	7	2023	18.3	23.32	1.9	5.21
6	7	2023	15.03	25.21	0.0	5.59
7	7	2023	18.84	30.53	0.0	6.92
8	7	2023	20.88	32.35	0.0	6.91
9	7	2023	25.15	34.52	0.0	7.28
10	7	2023	24.61	31.12	0.0	6.48
11	7	2023	25.27	36.35	7.8	6.96
12	7	2023	21.61	28.04	2.3	4.23
13	7	2023	18.24	25.62	0.0	5.78
14	7	2023	19.08	30.04	0.0	6.5
15	7	2023	22.31	34.61	0.2	7.46
16	7	2023	18.54	26.16	0.2	4.71
17	7	2023	21.26	27.39	0.0	6.02
18	7	2023	18.94	31.6	0.2	5.75
19	7	2023	23.42	29.04	0.0	7.36
20	7	2023	19.1	27.49	0.0	5.68
21	7	2023	20.52	25.62	1.9	3.76
22	7	2023	18.42	26.37	0.0	6.34
23	7	2023	20.0	30.05	0.0	5.41
24	7	2023	20.32	26.2	6.7	2.42
25	7	2023	12.72	22.18	6.2	3.63
26	7	2023	13.03	20.98	0.5	3.35
27	7	2023	16.66	27.2	0.0	5.62
28	7	2023	21.07	25.62	0.1	3.67
29	7	2023	20.53	24.81	3.5	2.54
30	7	2023	19.68	24.11	0.2	5.3
31	7	2023	18.12	25.21	0.0	5.13
1	8	2023	17.53	24.59	7.8	4.0
2	8	2023	19.27	30.92	1.2	5.62
3	8	2023	17.3	22.35	0.0	5.3
4	8	2023	15.34	18.04	6.5	1.55
5	8	2023	14.06	23.34	0.0	4.61
6	8	2023	14.4	18.02	1.4	3.43
7	8	2023	12.95	19.72	0.7	3.36
8	8	2023	14.95	23.84	0.0	5.2
9	8	2023	20.88	24.94	0.0	4.27
10	8	2023	18.73	28.17	0.0	4.92
11	8	2023	20.41	31.43	0.0	4.97
12	8	2023	25.3	31.15	0.1	5.21
13	8	2023	22.44	30.04	0.1	4.36
14	8	2023	23.14	33.64	0.0	5.46
15	8	2023	24.1	31.6	0.0	5.64
16	8	2023	23.33	31.84	0.2	4.87
17	8	2023	22.25	32.53	0.0	4.59
18	8	2023	23.18	33.81	0.0	6.32
19	8	2023	24.52	34.88	0.0	5.85
20	8	2023	25.93	33.38	0.0	5.53
21	8	2023	24.43	33.33	0.0	5.09
22	8	2023	24.83	34.36	0.0	5.01
23	8	2023	22.03	32.86	0.0	5.29
24	8	2023	23.01	38.44	1.3	5.84
25	8	2023	25.0	32.69	3.5	4.74
26	8	2023	18.03	25.16	1.8	2.61
27	8	2023	14.92	21.04	11.5	1.69
28	8	2023	13.16	16.77	6.8	1.49
29	8	2023	12.5	18.64	2.6	2.21
30	8	2023	14.79	21.56	0.0	3.29
31	8	2023	16.44	22.37	0.0	3.42
1	9	2023	18.38	26.58	0.0	4.36
2	9	2023	18.32	28.16	0.0	4.52
3	9	2023	19.98	28.76	0.0	4.16
4	9	2023	16.48	29.47	0.0	5.55
5	9	2023	17.36	28.7	0.0	5.22
6	9	2023	17.14	28.5	0.0	4.4
7	9	2023	18.65	30.02	0.0	4.12
8	9	2023	22.17	31.32	0.0	4.03
9	9	2023	23.11	30.97	0.0	4.1
10	9	2023	22.5	31.16	0.0	4.19
11	9	2023	21.68	31.94	0.0	4.55
